Sigla	Codigo	Município	2010	2012	2014	2016	2018
BA	2914109	Ipupiara	5368	6069	5573	6768	5968
BA	2914208	Irajuba	4071	4533	3990	4491	3958
BA	2914307	Iramaia	6619	7587	6188	7178	6009
BA	2914406	Iraquara	11189	12623	12292	13890	13064
BA	2914505	Irará	15978	18236	17077	19122	17655
BA	2914604	Irecê	31619	35189	33319	36361	37575
BA	2914653	Itabela	14956	17125	15163	16508	15587
BA	2914703	Itaberaba	29440	32642	31601	34001	33133
BA	2914802	Itabuna	112105	117166	113644	114023	115101
BA	2914901	Itacaré	8827	11075	9962	12219	10752
BA	2915007	Itaeté	7229	8372	7097	8201	7621
BA	2915106	Itagi	7548	8732	7506	8236	7387
BA	2915205	Itagibá	8432	9574	8712	9147	8205
BA	2915304	Itagimirim	3916	4862	3966	5252	4485
BA	2915353	Itaguaçu da Bahia	6687	7964	7196	8549	7234
BA	2915403	Itaju do Colônia	3405	3988	3318	4492	3672
BA	2915502	Itajuípe	12153	13479	12220	13787	12230
BA	2915601	Itamaraju	30379	33596	31196	34380	32460
BA	2915700	Itamari	4812	5698	4685	5552	4620
BA	2915809	Itambé	13699	14451	12575	14422	12503
BA	2915908	Itanagra	3313	4152	3400	4279	4149
BA	2916005	Itanhém	11025	12575	11258	12615	10783
BA	2916104	Itaparica	11371	13003	12201	13969	13745
BA	2916203	Itapé	6397	7457	6305	7439	6636
BA	2916302	Itapebi	4821	6788	5273	6714	5801
BA	2916401	Itapetinga	34010	36682	35386	37517	35101
BA	2916500	Itapicuru	14263	17285	15792	17328	15934
BA	2916609	Itapitanga	4613	5082	4348	5043	4281
BA	2916708	Itaquara	4611	5359	4664	5485	4721
BA	2916807	Itarantim	9544	11638	9887	11503	10190
BA	2916856	Itatim	8254	9700	8797	9607	9062
BA	2916906	Itiruçu	7185	7630	6607	7446	6531
BA	2917003	Itiúba	19508	21387	19800	21815	20342
BA	2917102	Itororó	11511	12782	10701	12782	11369
BA	2917201	Ituaçu	10793	11950	11353	12429	11423
BA	2917300	Ituberá	13761	14905	13605	15124	13265
BA	2917334	Iuiú	5810	6701	6075	7078	6331
BA	2917359	Jaborandi	5508	6646	5608	7339	6357
BA	2917409	Jacaraci	7621	8964	8129	9591	8432
BA	2917508	Jacobina	39982	44140	42029	45935	44769
BA	2917607	Jaguaquara	24002	27017	24996	27807	25232
BA	2917706	Jaguarari	16287	18043	17314	18631	17206
BA	2917805	Jaguaripe	8250	10432	9362	11023	10195
BA	2917904	Jandaíra	5203	6485	5692	6837	5856
BA	2918001	Jequié	74649	85143	83494	86426	90381
BA	2918100	Jeremoabo	18548	20624	19630	21605	19838
